Q1A,Q1E,Q2A,Q2E,Q3A,Q3E,Q4A,Q4E,Q5A,Q5E,Q6A,Q6E,Q7A,Q7E,Q8A,Q8E,Q9A,Q9E,Q10A,Q10E,Q11A,Q11E,Q12A,Q12E,Q13A,Q13E,Q14A,Q14E,Q15A,Q15E,Q16A,Q16E,Q17A,Q17E,Q18A,Q18E,Q19A,Q19E,Q20A,Q20E,Q21A,Q21E,Q22A,Q22E,Q23A,Q23E,Q24A,Q24E,Q25A,Q25E,Q26A,Q26E,Q27A,Q27E,Q28A,Q28E,Q29A,Q29E,Q30A,Q30E,Q31A,Q31E,Q32A,Q32E,Q33A,Q33E,Q34A,Q34E,Q35A,Q35E,Q36A,Q36E,Q37A,Q37E,Q38A,Q38E,Q39A,Q39E,Q40A,Q40E,Q41A,Q41E,Q42A,Q42E,country,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,religion,married,familysize,major,major_category
1,10507,3,3079,1,3590,2,5380,1,2861,2,7406,3,6185,2,1957,2,8556,3,3784,2,3421,3,5178,3,1941,2,11425,3,3409,2,2752,3,7440,2,7424,1,15166,2,2846,2,3352,2,5212,2,2964,2,5739,3,10905,4,10229,2,4773,2,4251,1,4719,2,6379,2,3043,2,3283,3,2847,3,2238,2,5694,2,3271,2,2921,2,3652,3,7745,3,8097,3,5203,3,15820,EE,12,238,107,5,4,6,6,7,6,6,4,5,3,1,2,2,15,12,1,1,Art,Arts
4,3489,4,2773,4,3676,4,4088,3,5448,4,3654,2,4150,3,3016,4,5160,4,2680,4,2942,3,3785,4,2479,3,5838,4,2328,4,3842,4,5436,4,1833,4,7153,2,6010,4,2429,4,6031,2,6027,4,3255,2,16491,4,2459,4,2504,3,3772,3,22056,4,4082,4,5106,3,3872,1,3928,4,6178,3,6919,4,2062,3,4504,4,2369,4,3018,3,4012,2,3844,4,7745,PH,26,205,167,6,6,1,5,5,6,6,5,5,6,3,3,2,27,4,1,4,Management,Business
1,6808,1,2990,2,5019,1,9227,3,5638,2,3298,1,5031,1,3101,1,4072,2,3297,1,5563,1,6198,1,1564,2,7752,1,2492,3,4935,3,4664,1,3517,1,3936,1,2445,1,2760,2,2874,1,1812,3,4250,2,14971,1,2789,1,2973,1,2200,2,1827,1,7203,2,4089,2,5918,1,2190,1,3408,1,7983,1,1542,1,5684,2,3096,3,4390,2,7260,1,2464,2,3656,CA,55,203,208,5,5,5,2,3,5,2,5,6,3,2,1,1,30,4,1,4,Redseal Electrician,Others
2,2947,1,2724,1,4037,1,2175,1,4951,1,5810,1,4344,2,5542,1,3712,2,3478,2,15270,1,3550,2,2200,2,5590,1,2326,1,5423,2,1795,1,2414,1,2825,1,2366,2,2793,1,2603,1,1837,1,4459,1,7479,2,3361,2,2727,1,5012,1,4185,1,7699,1,5314,3,4496,2,12363,2,4460,3,12873,1,2315,2,10438,2,2281,2,5929,2,7150,1,2002,1,2717,GB,134,199,117,5,5,7,5,5,6,3,2,1,6,2,3,1,28,1,1,3,Others,Others
2,1471,1,1381,2,2317,1,3813,2,1370,2,1469,2,1356,2,1226,1,2907,1,3566,2,1991,2,1612,2,1767,1,2229,1,2055,2,5878,2,1557,2,1829,1,1902,1,3048,1,1993,2,1259,1,1663,2,3792,1,2599,2,1408,2,1495,1,2679,2,4576,1,3484,2,1683,1,2359,2,2131,2,1991,1,13013,1,1566,1,1809,1,2616,2,1632,1,2655,2,4679,2,3365,CA,1,110,168,4,2,6,1,6,5,5,4,5,4,4,2,2,33,6,2,2,Neuroscience,Sciences
2,3323,2,2133,2,2899,3,2630,4,1656,3,1924,4,2073,3,4241,4,2935,4,2522,4,1879,3,1889,4,1814,4,3152,4,1949,1,3511,4,1922,4,1668,3,1749,4,1908,4,1561,3,1681,3,1872,2,2145,2,2674,3,1602,3,2421,4,1691,3,2622,2,3200,1,2608,4,5674,4,2528,4,1443,4,2228,4,3617,3,7330,3,5518,2,2320,4,2443,4,3924,1,2203,US,7,112,175,5,6,3,7,1,7,7,7,3,5,1,3,2,14,4,1,4,Others,Others
1,3983,1,6805,1,3032,1,4703,1,2641,1,2712,1,2727,1,2943,2,22950,1,2515,2,3673,1,2515,1,4164,2,6554,2,3357,1,2954,1,8181,2,4748,1,2314,1,2605,1,3466,1,3156,1,2207,1,4508,2,17031,1,2462,1,6082,1,2533,1,2578,1,3462,1,2477,2,5684,1,3349,1,3009,1,7743,1,4149,1,8652,1,2205,2,4257,2,6348,1,2333,2,4231,PH,22,200,184,3,1,6,2,6,3,6,5,6,5,3,1,2,34,4,2,1,Others,Others
1,383,1,212,1,206,1,190,1,220,1,308,1,2070,1,233,1,1812,1,366,1,1330,1,231,1,200,1,251,1,807,1,1804,1,371,1,179,1,269,1,251,1,1134,1,901,1,1013,1,374,1,197,1,2322,2,1718,1,432,1,351,1,233,1,319,1,334,1,3553,1,1050,1,871,1,232,1,1648,1,367,1,198,1,6482,1,342,1,3296,HK,12,39,91,7,3,6,3,7,2,6,3,5,4,2,3,1,18,4,1,2,Others,Others
4,9034,3,3619,2,4395,2,7151,3,2390,3,2423,2,4714,3,3777,4,8327,3,3411,3,2927,3,3648,4,1656,3,5619,2,5624,4,6419,4,2522,3,2177,1,7161,3,8366,3,2944,2,2657,1,3158,4,4224,3,9231,3,3372,4,3733,2,3367,3,22225,3,4064,4,9699,2,8316,3,2696,3,2715,2,4217,3,1861,2,4043,2,3146,4,2972,3,6100,2,2192,4,3627,MY,4,207,202,2,1,5,6,4,7,5,4,4,3,4,2,2,25,10,1,5,Medic,Medical
2,5180,1,2657,1,3852,2,2400,1,4473,2,2368,2,4649,1,5427,2,5793,1,3796,3,8133,2,8829,3,3284,1,5913,2,2110,1,2410,2,3050,2,8329,2,38498,1,3003,1,2668,2,2490,2,3685,1,7394,2,6747,1,2951,3,37015,1,7072,4,6425,1,6027,1,6497,2,9407,2,5386,1,2708,3,7153,2,43896,1,3710,1,1684,2,41400,1,9728,2,2591,1,5748,MY,46302,348,216,6,6,6,7,7,6,7,3,3,1,3,2,2,30,10,1,8,Multimedia,Computer Science
3,2359,3,3538,2,5488,2,3780,4,2552,2,2437,4,2253,4,2516,4,4803,2,2635,2,3774,2,2591,2,2144,3,3919,2,5765,3,2349,3,2192,2,2209,2,3150,1,2944,3,2870,4,2059,2,1808,2,5029,2,5274,1,4052,3,1483,2,3636,1,4199,3,5309,3,3536,3,6211,4,1473,3,3001,4,3666,1,2345,2,4182,3,3990,3,1584,2,4917,3,3558,4,5767,US,96,154,77,3,3,5,3,6,5,5,4,5,4,3,2,2,29,6,2,2,Biomedical engineering,Engineering
3,1827,3,3911,3,7370,1,2504,2,2138,3,2128,2,2673,4,2167,3,6217,2,2427,3,5440,3,2551,3,1302,2,3704,2,1964,3,2052,3,1912,2,4318,2,4589,4,3684,2,2269,4,2307,1,1796,3,2368,3,5693,3,1936,2,2440,1,2403,3,4035,2,6650,3,2074,2,3296,2,3409,4,1947,3,3311,3,1687,2,3492,3,3020,2,2045,4,3620,1,2756,2,3539,US,24,132,117,5,6,7,6,6,6,7,4,4,3,4,3,2,30,1,1,2,Mathematics business economics,Computer Science
2,5341,4,2237,4,3896,1,10145,3,3851,4,3326,4,2301,2,2655,2,29891,4,2637,4,2678,4,4841,4,6036,3,9400,1,3469,4,4073,4,1946,3,8810,4,6194,1,3393,4,3681,4,2488,1,2052,4,4590,1,8895,1,2801,4,2758,2,4430,2,5453,1,6099,3,6681,4,2585,2,6013,4,1854,2,8666,2,2258,4,3061,4,1951,3,2740,4,4231,4,2238,4,3204,PK,4,238,291,6,3,5,7,7,6,7,1,3,2,2,3,2,19,10,1,4,Others,Others
3,2736,3,3243,3,2993,2,3693,3,4055,4,2101,3,3318,3,1761,4,5152,4,30408,3,4214,3,3122,4,1607,4,3348,3,2067,4,2343,3,2010,2,4974,2,3918,3,2164,3,3071,3,2608,3,2163,3,2419,3,5576,2,4434,3,2817,4,2168,3,4271,2,3772,3,4112,3,4071,3,1641,4,1884,3,2944,2,1778,3,3093,3,2339,2,3034,3,3208,3,2738,3,2584,CA,2,157,127,1,6,6,7,3,7,3,6,1,5,2,3,2,21,6,1,2,Others,Others
4,4903,4,1644,4,1293,4,1501,4,1125,4,1641,4,1503,4,1293,4,4003,4,1436,4,1132,4,1425,4,1137,2,6205,2,3370,4,1303,4,1948,4,979,3,5858,3,9848,4,1225,4,1315,2,6738,4,1759,4,2131,4,2565,4,1505,4,1204,4,1439,4,1733,4,1572,4,2888,4,1147,4,1228,4,2807,4,968,4,3215,4,1196,4,2246,4,1799,3,2592,4,1768,IN,5,100,145,1,7,6,7,3,7,6,2,1,6,3,2,2,25,1,1,2,English,Humanities
4,3758,1,7175,2,5697,3,3484,2,6127,3,9879,3,5604,2,6185,3,19635,4,15407,4,3629,4,4412,3,1545,4,8704,3,3035,2,12516,2,15495,4,5475,1,11198,4,5021,2,20875,3,4299,1,7960,1,36291,4,8378,3,3096,2,12375,3,6643,4,4427,2,21652,1,6322,2,10722,3,4365,3,5199,2,21339,3,3022,3,7668,1,11757,3,4709,4,21063,2,3874,2,7624,NONE,4,395,210,6,4,6,7,5,2,6,2,5,2,3,3,2,22,8,1,2,Philosophy ,Humanities
3,4826,3,2433,2,5748,2,5550,2,3459,3,4940,3,5550,3,9007,3,7864,2,3204,3,3573,2,4875,3,2092,4,5253,1,3420,2,3704,3,4439,4,8311,3,6854,3,2990,2,3235,4,4122,2,4751,2,5796,2,7546,4,2947,4,3003,4,2529,4,3088,2,8904,3,4058,3,12028,4,1738,3,2528,2,9373,4,3223,3,2807,2,4428,4,1869,2,8538,3,4551,4,10430,IN,8,210,147,1,6,4,7,3,7,7,2,2,3,2,3,2,22,8,1,2,Others,Others
4,3375,4,2174,4,2081,1,4117,4,1745,4,7488,1,2952,4,2408,3,58583,4,1546,4,2574,3,6960,4,1782,1,3847,1,2249,4,2454,4,2205,4,1967,1,8264,1,2519,4,2311,3,866,2,824,2,2864,1,4224,4,2361,1,2191,1,1815,1,2955,1,5647,4,2550,1,20833,4,2360,4,1552,1,4177,1,2063,4,2754,4,1960,4,2617,2,4750,1,2855,4,2856,US,3,209,100,2,2,5,4,4,4,5,7,5,7,3,3,1,30,1,1,3,Biology,Sciences
2,6588,2,8183,2,4969,2,6081,2,4540,3,10744,1,4857,4,3074,3,4657,1,5403,3,10764,3,12870,4,3704,2,2460,2,18919,1,2713,2,704,4,3416,2,6905,3,2348,1,5253,3,7729,2,4329,3,7622,3,4097,4,1127354,3,2404,3,7911,3,4724,3,8153,3,1969,2,15667,4,3038,3,5523,2,59936,3,2079,2,5355,2,3098,3,2326,2,4521,1,2305,1,5920,IN,3,1432,174,5,3,1,6,7,5,4,5,4,3,4,3,2,23,8,1,1,English,Humanities
4,6448,1,3994,3,3437,2,2543,4,10299,4,3769,1,2806,2,3440,2,7215,4,2203,4,2556,1,3241,4,1288,3,8441,3,3136,4,3138,3,3721,1,4761,1,3060,2,5945,4,2405,3,3516,2,1967,4,1848,2,4879,4,1884,4,4070,2,3776,3,5717,2,9152,4,10175,3,21222549,1,4740,4,1649,2,9232,1,4342,4,3592,4,4747,4,4125,2,11836,2,3758,3,3328,US,2,21411,149,6,1,7,7,4,4,5,3,1,5,4,2,2,15,4,1,2,biology,Sciences
3,2921,2,2588,3,2290,4,1691,4,1587,3,1949,4,1985,3,5448,2,4917,4,1672,4,2138,4,1826,4,1435,4,2658,4,2097,3,3287,4,2221,3,9639,4,4215,4,2062,4,1817,4,3254,4,1572,4,3316,4,8032,3,2694,4,2165,4,1694,3,3080,3,4769,4,5024,4,6102,4,3627,4,1257,4,3705,4,1369,4,4386,4,1690,4,7159,4,4815,4,1682,2,4401,IN,6,138,176,2,1,6,7,7,7,5,1,5,1,4,2,1,22,8,1,2,Mass Communication,Social Sciences
4,3067,2,2659,3,6255,3,7746,4,4860,1,3422,1,5611,3,2847,1,14119,4,5447,4,4159,1,4989,3,2608,3,8210,2,4441,2,6679,3,2444,2,4973,1,4384,2,3868,4,3425,2,2277,1,2212,2,6014,2,7005,3,3345,3,19051,1,5121,3,4044,1,10277,2,7273,2,8217,1,2833,3,2134,2,16827,2,2798,3,4831,4,2160,3,4378,1,4453,2,5130,2,9091,MY,28,239,279,3,6,5,5,4,6,5,4,3,2,2,2,2,21,10,1,4,Electrical and electronics engineering,Computer Science
4,2461,2,2172,4,11625,3,6850,3,4643,4,2471,3,6143,4,1836,1,73290,4,4451,4,2038,4,3710,4,1104,2,5343,2,2604,3,3900,3,2723,4,2256,2,4379,3,2748,3,11027,4,1848,1,4012,4,82013,3,6603,4,9202,4,7271,4,1307,4,4535,2,63943,3,2424,2,6155,4,2617,4,1642,2,18071,4,1787,3,5616,3,2664,4,1968,2,18510,4,2676,3,8484,FI,1049,444,200,7,7,4,6,7,2,6,7,2,2,2,1,1,28,2,1,3,Information Technology ,Computer Science
4,3128,2,4879,4,3396,1,1649,4,2451,2,17211,1,9059,4,2223,3,10994,4,1645,3,2682,2,11527,4,2063,2,7762,3,5018,4,2932,4,3944,2,6933,3,968,4,1485,4,1893,4,10842,2,5197,4,4613,2,7108,4,2314,3,5349,4,1623,3,7541,3,7008,3,12703,3,13794,3,6394,2,1059,2,17818,4,2150,4,15393,4,1645,3,2199,1,7235,2,1059,4,4460,IN,22,273,196,7,4,2,7,7,2,6,7,1,4,4,1,1,19,10,1,1,Journalism,Social Sciences
4,2550,2,3263,4,2571,3,9339,3,5925,4,3157,4,3873,4,2021,3,4751,4,14439,4,2730,4,3878,4,2354,2,5286,2,6511,4,5157,4,5937,2,1591,2,6843,1,4017,4,4347,2,4291,1,3229,4,2803,3,336,2,2968,4,2893,2,4383,4,3046,1,6854,4,2888,2,6711,4,2749,4,2286,2,12085,1,3188,4,3557,4,2547,4,6229,3,4665,4,7170,3,4536,US,5,190,283,6,6,7,7,7,7,7,1,1,1,2,1,2,36,4,2,2,Others,Others
4,1368,4,1350,4,1777,4,1517,4,1583,4,1316,4,1548,4,1490,4,2387,4,1468,4,1500,4,1467,4,2364,4,5365,4,1428,4,1582,4,1435,4,1117,4,2551,4,2783,4,1449,4,1200,4,1302,4,1800,4,5337,4,1198,4,2632,4,3077,4,1634,4,1616,4,1605,4,2281,4,1450,4,1148,4,1852,4,1199,3,3420,4,1199,4,1852,4,2183,4,1166,4,2299,US,344,81,111,1,6,3,7,1,7,5,5,1,7,2,3,2,25,2,1,4,Others,Others
3,3352,1,2539,4,1879,2,4344,2,3575,2,2504,2,2070,4,1744,2,7309,4,2200,4,1555,1,3168,4,1603,2,3509,1,2491,2,2934,4,1465,3,2113,1,4484,4,2570,4,4770,2,1720,1,1710,3,2237,1,4160,3,4271,4,2171,3,2240,3,4688,2,5382,2,2012,3,7212,2,3171,4,1569,2,4312,4,2560,4,2364,4,1559,4,1751,4,4231,3,3718,3,2581,US,6,128,496,5,4,6,5,4,3,5,6,3,2,1,3,2,16,6,1,4,Others,Others
3,2329,1,2006,3,3253,1,3978,4,1899,4,3120,2,2011,3,2964,3,3282,4,1810,4,2950,2,4375,4,1282,4,3699,1,2191,4,1783,4,1591,3,6728,3,4134,2,1743,4,1437,2,5402,1,1792,4,2092,1,5307,4,4685,3,1822,2,1765,3,2295,3,2562,3,2995,3,3053,2,3085,4,2938,2,3663,2,2685,4,1999,4,1461,4,1961,2,2740,1,1769,4,2190,US,3,118,120,2,5,2,7,6,6,3,6,1,5,1,2,2,14,2,1,3,Others,Others
2,6299,1,2516,1,7332,1,2899,2,2582,3,3149,1,2365,1,2933,2,7108,3,4759,3,4532,2,5365,3,6249,1,5697,1,1733,2,8215,3,2916,2,2965,1,4583,2,2176,2,2655,1,3034,1,1699,1,4899,1,3700,4,7301,3,6199,1,3199,2,3233,1,7497,2,6714,2,4166,1,5598,3,3709,1,7914,2,3292,2,4264,2,3650,2,4384,3,5932,1,4556,2,7664,US,4,192,135,1,1,6,5,6,7,4,2,6,2,1,2,2,16,1,1,2,Others,Others
3,2725,2,5564,2,2929,2,2459,2,2295,4,2394,3,2128,3,2779,3,5298,3,1849,3,1754,3,1893,4,1617,2,5978,3,2340,2,7010,3,4438,2,4234,4,5703,3,2232,2,1964,3,2534,4,2144,2,6569,3,5402,4,2267,2,1569,3,2499,4,8103,2,2525,2,2260,3,3236,3,1350,3,2108,3,5370,2,2800,3,4632,2,2366,2,1599,3,3348,2,2417,3,3241,US,4,138,165,5,4,6,7,5,6,5,6,4,5,2,3,2,15,1,1,3,Others,Others
4,5127,2,5362,3,12800,4,10672,2,3935,4,3746,2,12946,2,6414,4,9125,2,20144,4,5096,2,4784,2,2668,3,7351,3,5491,2,4357,2,6552,2,4942,1,7526,2,3634,2,2969,4,5754,1,5839,3,7958,2,13265,3,3812,4,4501,3,5723,3,6474,1,6849,3,8749,4,5689,4,3542,1,3829,2,11229,3,12745,2,4158,2,4568,4,5749,4,7169,2,3987,2,6790,US,8,285,264,5,4,3,7,5,5,4,6,3,2,4,3,2,27,7,2,3,Others,Others
2,4371,1,4187,1,3576,1,8118,2,3135,1,11278,1,3036,2,3216,1,36154,1,4609,2,5861,1,7142,2,3652,1,2766,1,3062,1,2868,1,3351,2,2916,1,3750,1,9814,1,7705,1,2688,1,3341,1,6782,1,4214,2,6311,2,3612,1,1774,2,2525,2,846,1,2449,1,3902,1,1508,2,4977,2,906,1,2477,1,4998,1,2280,2,2990,2,6967,1,1619,2,18164,IN,4,238,238,6,5,6,1,7,3,6,5,6,1,3,2,2,25,8,1,1,Dentistry,Medical
3,3002,2,1513,4,9421,2,3556,4,18209,2,3679,2,3653,4,3249,4,5002,4,1459,4,2368,3,5680,4,1998,2,4398,2,11587,4,9733,4,2121,4,1936,2,4832,2,8016,4,1840,3,11869,2,3863,4,1925,2,7482,4,1628,4,2869,2,2598,4,3350,3,3729,4,2959,3,16876,2,2801,4,1839,3,6391,2,2118,4,3036,4,6898,3,2271,4,4048,2,1264,4,3246,US,20,209,99,3,1,4,7,4,7,7,5,2,4,3,1,2,21,7,1,1,general studies,Others
2,3133,2,4675,2,4020,1,3452,2,9798,4,822,1,3762,2,3465,2,8404,2,4359,2,4021,3,5077,2,4775,2,6230,1,3516,2,3998,1,3974,2,3935,2,6838,2,6110,1,3644,2,3964,1,2280,2,5544,3,10743,2,3654,2,4811,2,3348,2,5876,2,14003,2,4214,2,15273,2,33549,2,2948,2,14231,2,3904,1,4006,2,6607,2,7383,3,2934,1,11862,2,17373,MY,3,296,306,3,4,5,5,5,7,7,5,3,5,3,2,1,28,10,1,4,Medical,Medical
3,3069,3,1881,4,1963,2,3180,4,1427,4,1345,2,4772,4,1573,4,4062,4,1449,4,2210,4,1966,4,1158,2,4413,2,2325,4,3581,4,1810,4,1834,3,3038,4,1735,4,1890,4,1459,1,2375,4,2129,3,4045,4,2018,4,1769,3,2334,4,2109,3,9314,4,2232,3,2518,4,1958,4,1595,3,3529,3,6368,4,2311,4,2597,4,1237,4,2570,2,5049,4,2003,AU,4,115,148,1,7,6,6,4,7,5,5,2,4,4,2,1,31,2,1,1,Design,Arts
4,1226,4,1952,3,5962,2,3996,4,2451,2,4233,4,1438,4,1417,4,2386,4,1724,4,1180,4,2851,4,1380,4,1786,4,5306,3,1421,4,1303,3,2454,4,2151,2,3465,4,1127,4,1528,4,1290,4,2729,3,3040,4,1867,4,1304,2,3048,3,2904,3,2221,4,2845,4,2811,4,1407,4,1488,4,4188,2,1491,4,1647,2,2641,4,1082,4,1259,4,1523,4,1897,AU,154,97,129,5,2,2,6,6,2,5,6,3,7,3,2,3,31,4,1,2,Others,Others
1,3387,1,2277,3,7185,1,2705,4,3685,1,3685,1,1984,2,6611,2,8699,3,7917,1,6656,2,6488,1,4031,2,5942,1,2214,1,5637,2,6558,2,5711,1,2374,1,12585,1,2944,1,4808,1,3842,2,5425,1,3361,2,4479,1,3723,1,2749,2,6124,1,4515,3,7010,2,6231,3,5419,1,2042,2,11916,1,1914,2,12652,2,9667,1,3070,1,3419,1,4567,4,5937,US,3,223,145,2,1,1,6,7,5,2,7,6,1,2,3,1,55,2,2,2,Others,Others
3,2567,1,5930,3,30062,3,8807,4,7635,2,6793,2,4133,3,13540,3,12021,3,11060,2,20895,1,8625,3,5114,4,9428,1,41333,3,4373,3,1674,2,8752,2,11144,1,24804,2,5478,2,7818,1,15025,3,8191,2,4940,3,6956,3,3871,2,16135,3,11007,3,13534,2,8425,3,5084,2,5250,3,9879,2,31932,1,19164,2,9522,3,8499,3,21859,2,8337,3,2834,3,5864,US,16,469,371,2,5,2,7,5,7,7,2,3,1,3,2,2,52,2,1,1,Commercial Art,Arts
2,4114,1,5259,1,6834,1,4366,1,3267,2,3230,2,3793,2,2745,4,13261,1,2693,2,2281,2,4107,1,3715,2,4777,1,6779,1,2950,2,11081,1,3584,2,10289,2,16669,2,2979,1,7971,2,3930,1,4705,2,6830,1,3572,2,5067,2,2541,2,6856,2,7262,1,9915,1,6982,2,5330,1,5655,1,17236,1,2247,1,13760,1,2756,2,5824,2,3196,2,4779,2,4760,MY,28,260,224,6,5,6,5,6,4,6,5,4,3,3,3,2,21,10,1,6,Speech Pathology ,Medical
4,4289,1,2003,4,1611,2,4294,4,1196,4,1008,4,1421,4,1283,4,2491,4,1335,4,1450,4,1317,4,1171,4,2499,3,2733,4,1412,4,4083,4,1521,4,2270,4,1786,4,1704,4,2545,1,3288,4,2008,4,4916,4,1403,4,1319,4,893,4,1656,4,2930,4,1483,4,2570,4,1311,4,2303,4,2126,4,2019,4,1396,4,1138,4,1276,4,1660,4,1992,4,1733,US,437,87,113,5,1,3,7,3,4,5,1,2,3,3,1,2,19,1,1,3,pharmacy,Medical
4,4278,4,1975,3,3370,3,1726,4,4237,4,5920,4,3241,4,2135,4,2564,4,3932,4,1626,4,2712,4,3399,4,2798,4,5130,4,1537,4,6928,4,1418,3,2194,4,1474,4,2172,4,2856,4,1186,3,2439,3,2840,4,1196,4,2874,4,1619,4,2762,4,3487,3,5957,4,1870,4,5023,4,1682,4,4760,4,4704,4,2600,4,1346,3,20351,4,3696,4,1732,3,2618,MY,3,167,150,4,4,3,7,3,4,6,4,4,5,2,3,2,18,10,1,3,Law,Social Sciences
4,1594,2,2652,4,2050,2,4973,2,4840,4,2153,2,4831,4,1432,4,2051,4,1832,4,1871,3,4096,3,1617,3,4172,2,1597,4,1532,4,2128,2,2616,4,2727,2,12047,4,1395,4,1760,3,1622,3,1777,1,4605,4,1455,4,1355,2,1911,3,3049,4,3079,4,2793,4,3099,3,3631,4,1838,4,2964,2,1619,2,2853,4,1870,4,1367,4,2316,1,2706,3,2735,US,9,116,123,3,4,4,6,3,7,6,6,2,5,1,3,2,14,1,1,2,Others,Others
3,21570,1,4746,4,1137,2,7378,3,16063,3,3661,1,9019,1,16048,1,18060,3,25052,3,7409,1,3348,3,4525,1,7233,2,4595,4,3379,3,6178,3,32171,1,17578,3,6278,2,75343,3,108343,2,9883,4,4956,3,11693,4,5814,3,6928,1,19352,4,7711,2,23359,4,3870,2,12652,1,4235,3,5972,1,18097,1,3572,2,6399,3,5232,4,1500,1,10869,1,15161,3,6743,ID,16,629,319,2,4,5,6,5,7,6,6,4,7,2,3,2,19,10,1,2,psychology,Social Sciences
1,13799,2,3656,1,12224,2,12111,1,9080,2,5944,1,3111,2,8295,1,6112,1,3000,1,4776,1,4504,1,4345,2,12199,2,15416,1,5192,1,2553,2,4712,1,20428,1,4423,1,3905,1,32583,1,5105,1,4969,1,14335,1,3847,2,7919,1,3503,1,14833,1,12872,1,3696,1,28559,1,2270,1,2575,1,7792,1,2631,1,14423,1,2521,1,28296,1,9593,1,5456,1,22736,GR,898,391,1543,5,6,6,5,5,5,7,3,5,1,3,1,1,32,7,1,2,Art,Arts
3,2798,3,3888,2,6524,3,3738,2,6019,2,2400,1,2357,2,2937,4,4623,2,3277,3,2568,3,3468,2,3967,3,4939,1,3804,2,4628,2,3048,4,2715,4,4535,4,3207,1,5485,1,4907,1,1866,2,12062,2,9309,3,4380,3,19776,2,1630,2,14516,2,6081,3,7839,1,3957,3,1883,3,3579,1,22447,3,6266,1,5247,2,8945,3,24628,3,3310,4,2438,4,3572,MY,4,261,504,1,1,5,7,3,7,6,1,4,7,3,2,2,21,10,1,7,language,Humanities
1,3649,4,4797,3,3498,1,4159,3,3825,3,649,2,4977,2,2059,1,7604,2,4243,1,3080,2,2717,3,2268,1,4749,1,2294,2,1051,3,2703,2,2902,3,12885,1,3630,3,5026,2,3061,1,2797,2,3285,1,9267,3,3711,2,2527,3,9321,1,6149,1,7081,2,2959,1,5723,2,3627,3,17854,1,18074,1,1589,2,4486,4,2072,2,2642,1,2342,3,3603,4,3934,GB,2,219,273,2,4,6,4,3,4,4,5,4,4,1,3,1,17,1,1,2,Others,Others
1,4326,2,8770,2,4760,1,3728,4,3053,4,3719,4,2835,3,4867,3,6660,4,2284,4,6503,3,5544,4,1616,4,10918,3,4059,4,2494,2,4469,2,8159,1,5253,1,4002,2,8091,3,4674,3,4311,4,7302,1,6818,4,2208,3,2970,4,3137,4,3270,3,8811,2,5703,2,5860,2,2735,4,1209,3,7137,3,3176,2,10304,3,4743,1,3881,2,3760,1,5127,4,5293,PH,14,209,161,2,2,4,6,1,4,5,7,1,7,3,3,2,20,4,1,3,Pharmacy ,Medical
3,3479,1,1928,2,2782,1,3025,4,3645,3,4982,1,3307,2,5009,4,5063,3,2238,3,2931,2,4301,3,2066,4,10527,1,1976,2,4766,3,6237,4,3744,1,11574,2,2891,3,5972,2,2835,1,2281,3,6145,2,3728,3,4948,3,2558,2,5231,4,3867,3,10699,3,4923,3,3958,3,2869,2,3420,4,11127,2,2498,3,10079,2,3847,3,6342,3,5863,2,2713,4,4262,FI,37,198,170,3,3,4,6,4,7,5,5,4,3,3,3,2,26,7,1,2,Biology,Sciences
4,1614,4,1865,4,3884,4,2646,4,1994,4,2031,2,3826,4,2420,2,9106,4,2488,4,2420,4,9323,4,2027,2,5766,4,2064,4,2298,4,2132,4,2706,4,5211,4,58206,4,2050,4,2347,2,11329,4,2797,4,4319,4,2087,4,1674,2,3632,4,2777,4,123619,2,2805,2,3895,4,2552,4,806076,2,5604,4,1560,4,5015,4,2864,2,6917,4,2587,4,8554,2,5609,MY,14,2822,1037,1,7,1,7,1,7,7,7,1,7,1,3,2,16,10,1,5,Others,Others
2,2948,4,2808,2,2911,4,4290,2,2080,2,2119,3,9757,4,3381,2,7254,2,2657,1,4976,3,3898,2,3213,4,8581,3,1967,3,3731,2,652,2,2701,2,10982,3,3620,2,2155,3,3189,3,3418,3,3903,4,7648,2,2619,3,4219,3,4689,3,3194,3,5030,4,10433,3,7627,2,2955,2,2912,2,6341,3,3270,1,3622,4,2919,3,2471,3,5609,3,3018,4,3697,SE,5,189,120,2,6,7,4,5,7,2,2,6,7,2,2,2,16,2,1,2,Others,Others
2,2908,1,1770,1,4679,2,3982,1,3206,1,4431,1,2856,1,2330,1,2810,1,1662,1,2103,2,5541,1,1745,2,7592,1,1446,1,2127,1,2734,2,2340,2,9402,1,1714,1,2137,1,5961,1,2506,1,4555,1,5749,1,2656,1,2329,1,2968,2,8738,2,4669,1,2209,2,5475,1,1154,1,1245,2,25484,1,1986,1,3624,1,1545,2,1977,2,3548,1,1670,1,6174,HK,9,166,134,6,5,6,3,6,5,5,5,5,5,3,3,2,25,2,1,0,Biology,Sciences
